sat_id,norad_cat_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,associated_satellites
KMOS-8479-8668-2060-1108,39384.0,KYSAT-2,,satellites/KYSAT-2.jpg,re-entered,2015-02-12T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.131523Z,CITATION NEEDED - https://xkcd.com/285/,[]
XJVV-5632-8590-3325-8137,39385.0,TJ3SAT,,satellites/TJ3SAT.jpg,re-entered,2015-09-17T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.132884Z,CITATION NEEDED - https://xkcd.com/285/,[]
ZKYN-9221-2374-5641-3454,39395.0,COPPER,,satellites/COPPER.jpg,re-entered,2016-02-04T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.134225Z,CITATION NEEDED - https://xkcd.com/285/,[]
BETY-3848-2495-6921-5325,39398.0,BLACK KNIGHT-1,,satellites/BLACK_NIGHT-1.jpg,re-entered,2015-07-16T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.135558Z,CITATION NEEDED - https://xkcd.com/285/,[]
IDXT-3826-9067-2235-0516,39400.0,TRAILBLAZER,SPA-1,satellites/TRAILBLAZER.jpg,re-entered,2016-05-22T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.136868Z,CITATION NEEDED - https://xkcd.com/285/,[]
KSZC-6848-0487-5505-8533,39402.0,SWAMPSAT,,satellites/SWAMPSAT.jpg,re-entered,2015-12-13T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.138170Z,CITATION NEEDED - https://xkcd.com/285/,[]
ILFI-5093-5072-3892-5139,39405.0,CHARGERSAT-1,,satellites/CHARGERSAT-1.jpg,re-entered,2016-03-19T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.139538Z,CITATION NEEDED - https://xkcd.com/285/,[]
IKDT-3371-2990-6146-7410,39407.0,VERMONT LUNAR,,satellites/VERMONT_LUNAR.jpg,re-entered,2015-11-21T00:00:00Z,,,,None,,[],2021-07-21T10:11:42.140941Z,CITATION NEEDED - https://xkcd.com/285/,[]
GRVM-9505-5712-0753-7014,39417.0,ZACUBE-1,"South Africa CubeSat-1, TshepisoSat, ZA003",satellites/index.jpeg,alive,,,,,None,,[],2021-07-21T10:11:42.142323Z,CITATION NEEDED - https://xkcd.com/285/,[]
KKXC-8350-8272-9450-3056,39426.0,CINEMA-3,KHUSAT-2,satellites/CINEMA-3_8CJmlaD.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.143704Z,CITATION NEEDED - https://xkcd.com/285/,[]
APZD-5343-3708-9744-3445,39427.0,TRITON-1,,satellites/delfi-next__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.145094Z,CITATION NEEDED - https://xkcd.com/285/,[]
LDFA-5547-3453-6167-7352,39428.0,DELFI-N3XT,,satellites/DELFI-N3XT.jpg,alive,,,,,None,,[{'decoder': 'delfin3xt'}],2021-07-21T10:11:42.146499Z,CITATION NEEDED - https://xkcd.com/285/,[]
ZFJP-4482-3637-6524-3782,39430.0,GOMX 1,GATOSS,satellites/GOMX1_AutoE.jpeg,alive,,,,,None,,[],2021-07-21T10:11:42.147932Z,CITATION NEEDED - https://xkcd.com/285/,[]
LSAZ-0698-4857-0580-9788,39431.0,BRITE-PL,LEM,satellites/BRITE-PL.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.149233Z,CITATION NEEDED - https://xkcd.com/285/,[]
EAJC-4988-4301-3837-9744,39432.0,ICUBE-1,,satellites/ICUBE-1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.150500Z,CITATION NEEDED - https://xkcd.com/285/,[]
ISTU-1593-3487-2251-7574,39433.0,HUMSAT-D,,satellites/humsat-d__1.jpg,alive,,,,,None,,[],2021-07-21T10:11:42.151862Z,CITATION NEEDED - https://xkcd.com/285/,[]
