norad_cat_id,sat_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,associated_satellites
40055,GAVG-9414-7749-2985-8023,CANX-4,NLS 7.1,satellites/CANX-4.jpg,alive,,2014-06-30,,,None,CA,[],2021-07-21T10:11:42.198320Z,CITATION NEEDED - https://xkcd.com/285/,[]
40056,NNNU-2927-1621-5351-4273,CANX-5,NLS 7.2,satellites/CANX-4.5.jpg,alive,,2014-06-30,,,None,CA,[],2021-07-21T10:11:42.199718Z,CITATION NEEDED - https://xkcd.com/285/,[]
40057,MBWN-8482-2114-9688-9106,VELOX 1,,satellites/v1.jpg,alive,,2014-06-30,,,None,SING,[],2021-07-21T10:11:42.201082Z,CITATION NEEDED - https://xkcd.com/285/,[]
40069,DZPB-0849-7335-4514-4452,METEOR M-2,,satellites/METEOR-M_2.jpg,alive,,2014-07-08,,,None,CIS,[],2021-07-21T10:11:42.202408Z,CITATION NEEDED - https://xkcd.com/285/,[]
40071,HKKU-3815-5674-8886-1697,DX1,DX-1,satellites/DX-1.png,alive,,2014-07-08,,,None,CIS,[],2021-07-21T10:11:42.203786Z,CITATION NEEDED - https://xkcd.com/285/,[]
40074,MYVF-9479-6273-3061-0441,UKUBE-1,,satellites/592-original.gif,alive,,2014-07-08,,,None,UK,[],2021-07-21T10:11:42.205124Z,CITATION NEEDED - https://xkcd.com/285/,[]
40377,RAYV-6611-6544-4727-0745,FIREBIRD 3,FU3,satellites/Firebird_Auto3.jpeg,alive,,2015-01-31,,,None,US,[],2021-07-21T10:11:42.206574Z,CITATION NEEDED - https://xkcd.com/285/,[]
40378,TOZF-2042-4137-8353-3737,FIREBIRD 4,FU4,satellites/firebird4.jpeg,alive,,2015-01-31,,,None,US,[],2021-07-21T10:11:42.207959Z,CITATION NEEDED - https://xkcd.com/285/,[]
40379,LKOZ-5067-6870-4427-8883,GRIFEX,,satellites/IMG_6740-300x200.jpg,alive,,2015-01-31,,,None,US,[{'decoder': 'mxl'}],2021-07-21T10:11:42.209370Z,CITATION NEEDED - https://xkcd.com/285/,[]
40380,CFJB-2077-3855-6332-8459,EXOCUBE,,satellites/exocube__1.jpg,alive,,2015-01-31,,,None,US,[],2021-07-21T10:11:42.210712Z,CITATION NEEDED - https://xkcd.com/285/,[]
40654,SJIQ-0619-1652-1315-6120,NO-84,"PSAT
ParkinsonSAT",satellites/psat__2.jpg,alive,,2015-05-20,,,None,US,[{'decoder': 'ax25monitor'}],2021-07-21T10:11:42.212105Z,CITATION NEEDED - https://xkcd.com/285/,[]
40655,KBEL-4970-7091-3600-7423,NO-83,BRICSat-P,satellites/bricsat-p__2.jpg,re-entered,,2015-05-20,,,None,US,[],2021-07-21T10:11:42.213462Z,CITATION NEEDED - https://xkcd.com/285/,[]
40661,BDAD-5123-3691-7989-4312,LIGHTSAIL-1,LIGHTSAIL-A,satellites/lightsail1.jpeg,re-entered,2015-06-14,2015-05-20,,,None,US,[],2021-07-21T10:11:42.214853Z,CITATION NEEDED - https://xkcd.com/285/,[]
40719,LXTN-3112-4423-0306-4983,DEORBITSAIL,,satellites/DeorbitSail.jpg,alive,,2015-07-10,,,None,UK,[],2021-07-21T10:11:42.216197Z,CITATION NEEDED - https://xkcd.com/285/,[]
40897,FQAU-3569-6670-8687-3430,SERPENS,PY0ESA,satellites/SERPENS.jpg,re-entered,2016-03-27,1998-11-20,,,None,BRAZ,[],2021-07-21T10:11:42.217622Z,CITATION NEEDED - https://xkcd.com/285/,[]
40900,PDYY-8479-0832-6941-1000,NUDT-PHONESAT,"CAS-3I
XW-2I",satellites/NUDT-PHONESAT.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.218993Z,CITATION NEEDED - https://xkcd.com/285/,[]
40903,UCZE-8814-2695-5595-6102,XW-2A,CAS-3A,satellites/CAS_3A_XW-2A.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.220312Z,CITATION NEEDED - https://xkcd.com/285/,[]
40904,QORO-7015-0704-0536-9141,KAITUO 1A,,,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.221642Z,CITATION NEEDED - https://xkcd.com/285/,[]
40905,SRET-6574-7735-8405-8744,OBJECT G,,,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.223043Z,CITATION NEEDED - https://xkcd.com/285/,[]
40906,LEDR-0123-1783-1341-9342,XW-2C,CAS-3C,satellites/XW-2C.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.224440Z,CITATION NEEDED - https://xkcd.com/285/,[]
40907,TPLI-0230-3137-9154-3991,XW-2D,CAS-3D,satellites/XW-2D_r2lRYTE.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.225904Z,CITATION NEEDED - https://xkcd.com/285/,[]
40908,AHVS-7983-8710-8819-8034,LILACSAT 2,"CAS-3H
XW-2H",satellites/LILACSAT-2.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.227287Z,CITATION NEEDED - https://xkcd.com/285/,[]
40909,DTZR-4707-4114-9612-3004,XW-2E,CAS-3E,satellites/XW-2E.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.228678Z,CITATION NEEDED - https://xkcd.com/285/,[]
40910,YWAV-5902-3690-5734-3273,XW-2F,CAS-3F,satellites/XW-2F.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.230002Z,CITATION NEEDED - https://xkcd.com/285/,[]
40911,TZEC-4580-2722-6773-9216,XW-2B,CAS-3B,satellites/xw2b_small.jpg,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.231377Z,CITATION NEEDED - https://xkcd.com/285/,[]
40912,MUJZ-6655-6182-7273-3855,KAITUO 1B,"CAS-3G
DCBB
XW-2G",,alive,,2015-09-19,,,None,PRC,[],2021-07-21T10:11:42.232750Z,CITATION NEEDED - https://xkcd.com/285/,[]
40926,XHVR-2136-6377-5531-7206,TIANWANG 1C,"TW-1C
NJFA-1",satellites/TIANWANG-1C.jpg,alive,2021-02-27,2015-09-25,,,None,PRC,[],2021-07-21T10:11:42.234135Z,CITATION NEEDED - https://xkcd.com/285/,[]
40927,ENOX-9963-2931-2366-2925,TIANWANG 1B,TW-1BNJUST-2,satellites/TIANWANG-1B.jpg,re-entered,2021-03-31,2015-09-25,,,None,PRC,[],2021-07-21T10:11:42.235515Z,CITATION NEEDED - https://xkcd.com/285/,[]
40928,YQXC-7549-6593-3361-1643,TIANWANG 1A,"TW-1A
Shangkeda-2
SECM",satellites/TIANWANG-1A.jpg,alive,,2015-09-25,,,None,PRC,[],2021-07-21T10:11:42.236805Z,CITATION NEEDED - https://xkcd.com/285/,[]
